Adempiere,moderate,veryHigh,moderate,moderate,moderate,low,moderate,moderate,moderate,moderate,moderate,high,moderate,moderate,moderate,3
Agent Illustration System,moderate,high,veryHigh,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,3
Arcade Game PL Feature Model,high,high,moderate,veryHigh,veryHigh,high,veryHigh,moderate,moderate,veryHigh,moderate,moderate,high,veryHigh,moderate,3
Assistencia domiciliar,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,high,low,moderate,high,moderate,3
B2B Website,moderate,high,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,high,high,moderate,moderate,moderate,3
Billing,veryHigh,moderate,veryHigh,veryHigh,moderate,moderate,veryHigh,high,moderate,veryHigh,moderate,veryHigh,veryHigh,moderate,moderate,3
blog-Gabriel-magister2014,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,veryHigh,moderate,moderate,moderate,moderate,3
Buzzard Radio play DB,moderate,low,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,high,moderate,moderate,moderate,moderate,3
Control Biometrico,moderate,moderate,high,moderate,moderate,moderate,moderate,moderate,moderate,high,moderate,moderate,moderate,high,moderate,3
Database Tool,moderate,moderate,veryHigh,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,high,moderate,3
deepak_fm,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,high,moderate,moderate,moderate,3
DeReTiYo,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,3
Devolution,moderate,moderate,moderate,moderate,veryHigh,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,3
e-banking-IN0980,high,moderate,high,high,moderate,veryHigh,high,moderate,high,moderate,moderate,moderate,veryHigh,veryHigh,moderate,3
E-commerce,moderate,veryHigh,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,high,moderate,moderate,moderate,moderate,3
e-commerce,high,moderate,veryHigh,high,moderate,veryHigh,high,moderate,moderate,high,moderate,moderate,veryHigh,veryHigh,moderate,3
E-commerce system,high,veryHigh,moderate,moderate,veryHigh,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,3
ebay,moderate,moderate,veryHigh,moderate,moderate,moderate,moderate,low,moderate,moderate,high,moderate,moderate,high,moderate,3
Emergency Response Application,moderate,high,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,3
Equipo 6 - Uniandes - MP,high,veryHigh,moderate,veryHigh,moderate,moderate,veryHigh,moderate,moderate,moderate,moderate,high,moderate,moderate,moderate,3
Experiment environment,moderate,low,moderate,moderate,moderate,moderate,veryHigh,low,veryHigh,veryHigh,veryHigh,moderate,moderate,high,moderate,3
FM ERP-SPL,moderate,high,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,high,moderate,moderate,moderate,moderate,3
FM ERP-SPL,high,veryHigh,moderate,high,high,moderate,moderate,moderate,moderate,moderate,high,moderate,moderate,high,moderate,3
Gophone messaging,moderate,moderate,moderate,moderate,high,moderate,moderate,moderate,moderate,moderate,high,moderate,moderate,moderate,moderate,3
J2EE web architecture,veryHigh,veryHigh,veryHigh,high,moderate,veryHigh,high,moderate,moderate,moderate,moderate,moderate,veryHigh,moderate,veryHigh,3
Java EE 6 - Camilo Fierro,moderate,veryLow,veryHigh,moderate,moderate,veryHigh,moderate,moderate,moderate,moderate,moderate,moderate,high,high,moderate,3
Limerick Bike Sharing System,moderate,veryHigh,moderate,moderate,moderate,moderate,moderate,low,moderate,moderate,moderate,moderate,moderate,moderate,moderate,3
Lucas - pnp,moderate,moderate,veryHigh,moderate,moderate,moderate,moderate,moderate,high,moderate,high,moderate,moderate,moderate,moderate,3
Marketplace para PYMES,moderate,high,moderate,moderate,low,low,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,3
MarketplaceMiso,moderate,high,moderate,moderate,low,low,moderate,moderate,moderate,moderate,moderate,veryHigh,moderate,moderate,moderate,3
MayaModel,high,veryHigh,moderate,high,moderate,moderate,moderate,moderate,moderate,moderate,high,moderate,moderate,moderate,moderate,3
MayaVariabilityModel,high,veryHigh,high,high,moderate,moderate,high,moderate,moderate,moderate,high,veryHigh,moderate,moderate,moderate,3
MobiCent,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,high,moderate,moderate,3
Mobile Media 2,moderate,moderate,veryHigh,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,3
NOVASOFT,moderate,veryHigh,moderate,high,low,low,high,low,moderate,moderate,moderate,veryHigh,veryLow,moderate,moderate,3
OPEN ERP,moderate,veryHigh,moderate,high,low,low,high,moderate,moderate,moderate,moderate,veryHigh,moderate,moderate,moderate,3
PGE-FeatureModel_V1,moderate,moderate,veryHigh,moderate,moderate,veryHigh,moderate,moderate,moderate,moderate,moderate,moderate,high,high,high,3
Plone Meeting,high,moderate,moderate,high,moderate,high,high,moderate,moderate,moderate,moderate,moderate,high,high,moderate,3
Plone Meeting,high,moderate,moderate,high,moderate,high,high,moderate,moderate,moderate,moderate,moderate,high,high,moderate,3
Premium1Nemocon,moderate,moderate,moderate,moderate,moderate,high,moderate,moderate,moderate,moderate,moderate,low,moderate,high,moderate,3
SIGA-lctf-fta,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,3
Sistem Informasi Rumah Sakit MIK,moderate,moderate,moderate,moderate,moderate,veryHigh,moderate,moderate,moderate,moderate,moderate,moderate,high,veryHigh,moderate,3
social network applications,moderate,moderate,high,moderate,moderate,moderate,moderate,moderate,moderate,veryHigh,high,moderate,moderate,moderate,moderate,3
SPL-Doctor Chat,moderate,moderate,high,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,high,moderate,3
StoreFrontSystem,moderate,moderate,moderate,moderate,high,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,3
SWAMP Platform,moderate,high,high,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,3
Swap MArketplace,moderate,veryHigh,moderate,moderate,moderate,low,moderate,moderate,moderate,moderate,veryHigh,veryHigh,moderate,moderate,moderate,3
Toko,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,high,moderate,moderate,moderate,moderate,3
Toko,moderate,moderate,moderate,moderate,moderate,high,moderate,moderate,moderate,moderate,high,moderate,moderate,veryHigh,moderate,3
Toko,high,high,high,high,moderate,high,moderate,moderate,moderate,moderate,high,moderate,high,veryHigh,moderate,3
Toko,high,high,high,high,moderate,veryHigh,high,moderate,moderate,moderate,high,moderate,high,veryHigh,moderate,3
Toko,veryHigh,high,high,veryHigh,moderate,veryHigh,veryHigh,moderate,moderate,moderate,high,moderate,veryHigh,veryHigh,moderate,3
tool analysis,moderate,low,high,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,low,moderate,high,moderate,3
Torrent Client,moderate,low,veryHigh,moderate,moderate,moderate,moderate,moderate,moderate,high,high,moderate,moderate,moderate,moderate,3
Tree Stem Deformation Simulator,moderate,moderate,high,moderate,moderate,high,moderate,low,moderate,veryHigh,moderate,moderate,moderate,veryHigh,moderate,3
Tree Stem Deformation Simulator,moderate,moderate,high,moderate,moderate,high,moderate,low,moderate,veryHigh,moderate,moderate,moderate,veryHigh,moderate,3
