Lucas - pnp,moderate,moderate,veryHigh,moderate,moderate,moderate,moderate,moderate,high,moderate,high,moderate,moderate,moderate,moderate,2
VacacionesSanmiguel,moderate,moderate,high,moderate,moderate,moderate,moderate,moderate,moderate,veryHigh,high,moderate,moderate,high,moderate,2
Torrent Client,moderate,low,veryHigh,moderate,moderate,moderate,moderate,moderate,moderate,high,high,moderate,moderate,moderate,moderate,2
blog-Gabriel-magister2014,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,veryHigh,moderate,moderate,moderate,moderate,2
DeReTiYo,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,2
tool analysis,moderate,low,high,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,low,moderate,high,moderate,2
RaaS,moderate,low,veryHigh,moderate,moderate,moderate,moderate,high,moderate,moderate,moderate,veryHigh,high,moderate,moderate,2
Devolution,moderate,moderate,moderate,moderate,veryHigh,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,2
TreeStemDeformationMeshingTool,moderate,moderate,moderate,moderate,moderate,high,moderate,low,moderate,high,high,low,moderate,veryHigh,moderate,2
Premium1Nemocon,moderate,moderate,moderate,moderate,moderate,high,moderate,moderate,moderate,moderate,moderate,low,moderate,high,moderate,2
SPL-Doctor Chat,moderate,moderate,high,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,high,moderate,2
Video CMS,moderate,moderate,high,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,high,moderate,2
Meshing Tool Generator,moderate,moderate,veryHigh,moderate,moderate,veryHigh,moderate,moderate,high,veryHigh,moderate,moderate,moderate,high,high,2
Database Tool,moderate,moderate,veryHigh,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,high,moderate,2
WebCollaborativeApplication,moderate,moderate,veryHigh,moderate,moderate,moderate,moderate,veryHigh,moderate,moderate,moderate,high,moderate,moderate,moderate,2
Tree Stem Deformation Simulator,moderate,moderate,high,moderate,moderate,high,moderate,low,moderate,veryHigh,moderate,moderate,moderate,veryHigh,moderate,2
Mobile Media 2,moderate,moderate,veryHigh,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,2
E-commerce,moderate,veryHigh,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,high,moderate,moderate,moderate,moderate,2
Java EE 6 - Camilo Fierro,moderate,veryLow,veryHigh,moderate,moderate,veryHigh,moderate,moderate,moderate,moderate,moderate,moderate,high,high,moderate,2
Sistem Informasi Rumah Sakit MIK,moderate,moderate,moderate,moderate,moderate,veryHigh,moderate,moderate,moderate,moderate,moderate,moderate,high,veryHigh,moderate,2
PGE-FeatureModel_V1,moderate,moderate,veryHigh,moderate,moderate,veryHigh,moderate,moderate,moderate,moderate,moderate,moderate,high,high,high,2
Toko,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,high,moderate,moderate,moderate,moderate,2
Toko,moderate,moderate,moderate,moderate,moderate,high,moderate,moderate,moderate,moderate,high,moderate,moderate,veryHigh,moderate,2
Mobile Guide,moderate,high,veryHigh,moderate,high,low,moderate,high,moderate,moderate,high,moderate,moderate,moderate,moderate,2
E-commerce system,high,veryHigh,moderate,moderate,veryHigh,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,2
Video Player,high,moderate,moderate,moderate,moderate,high,moderate,moderate,moderate,moderate,high,moderate,high,veryHigh,moderate,2
MayaVariabilityModel,high,veryHigh,high,high,moderate,moderate,high,moderate,moderate,moderate,high,veryHigh,moderate,moderate,moderate,2
e-banking-IN0980,high,moderate,high,high,moderate,veryHigh,high,moderate,high,moderate,moderate,moderate,veryHigh,veryHigh,moderate,2
Toko,high,high,high,high,moderate,high,moderate,moderate,moderate,moderate,high,moderate,high,veryHigh,moderate,2
e-commerce,high,moderate,veryHigh,high,moderate,veryHigh,high,moderate,moderate,high,moderate,moderate,veryHigh,veryHigh,moderate,2
MayaModel,high,veryHigh,moderate,high,moderate,moderate,moderate,moderate,moderate,moderate,high,moderate,moderate,moderate,moderate,2
FM ERP-SPL,high,veryHigh,moderate,high,high,moderate,moderate,moderate,moderate,moderate,high,moderate,moderate,high,moderate,2
Plone Meeting,high,moderate,moderate,high,moderate,high,high,moderate,moderate,moderate,moderate,moderate,high,high,moderate,2
Arcade Game PL Feature Model,high,high,moderate,veryHigh,veryHigh,high,veryHigh,moderate,moderate,veryHigh,moderate,moderate,high,veryHigh,moderate,2
Equipo 6 - Uniandes - MP,high,veryHigh,moderate,veryHigh,moderate,moderate,veryHigh,moderate,moderate,moderate,moderate,high,moderate,moderate,moderate,2
Toko,high,high,high,high,moderate,veryHigh,high,moderate,moderate,moderate,high,moderate,high,veryHigh,moderate,2
DATABASE_TOOLS,veryHigh,moderate,veryHigh,veryHigh,moderate,moderate,veryHigh,moderate,high,moderate,veryHigh,veryHigh,veryHigh,high,moderate,2
Video Player,veryHigh,high,moderate,veryHigh,moderate,moderate,veryHigh,moderate,moderate,moderate,moderate,moderate,veryHigh,high,moderate,2
Reuso - UFRJ - Eclipse1,veryHigh,moderate,moderate,veryHigh,moderate,moderate,veryHigh,high,moderate,moderate,high,moderate,veryHigh,moderate,veryHigh,2
Toko,veryHigh,high,high,veryHigh,moderate,veryHigh,veryHigh,moderate,moderate,moderate,high,moderate,veryHigh,veryHigh,moderate,2
J2EE web architecture,veryHigh,veryHigh,veryHigh,high,moderate,veryHigh,high,moderate,moderate,moderate,moderate,moderate,veryHigh,moderate,veryHigh,2
Webmail,veryHigh,veryHigh,moderate,veryHigh,high,moderate,veryHigh,moderate,moderate,moderate,moderate,moderate,veryHigh,high,moderate,2
Billing,veryHigh,moderate,veryHigh,veryHigh,moderate,moderate,veryHigh,high,moderate,veryHigh,moderate,veryHigh,veryHigh,moderate,moderate,2
xtext,veryHigh,veryHigh,veryHigh,veryHigh,veryHigh,low,veryHigh,veryHigh,moderate,moderate,high,high,veryHigh,moderate,moderate,2
VMS,moderate,moderate,high,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,2
VR application,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,high,moderate,moderate,moderate,moderate,2
SWAMP Platform,moderate,high,high,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,2
Gophone messaging,moderate,moderate,moderate,moderate,high,moderate,moderate,moderate,moderate,moderate,high,moderate,moderate,moderate,moderate,2
social network applications,moderate,moderate,high,moderate,moderate,moderate,moderate,moderate,moderate,veryHigh,high,moderate,moderate,moderate,moderate,2
Control Biometrico,moderate,moderate,high,moderate,moderate,moderate,moderate,moderate,moderate,high,moderate,moderate,moderate,high,moderate,2
Agent Illustration System,moderate,high,veryHigh,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,2
mac,moderate,low,veryHigh,moderate,veryHigh,moderate,moderate,high,moderate,moderate,moderate,moderate,moderate,moderate,high,2
ebay,moderate,moderate,veryHigh,moderate,moderate,moderate,moderate,low,moderate,moderate,high,moderate,moderate,high,moderate,2
