AmazonEC2,moderate,low,moderate,moderate,high,high,moderate,moderate,high,moderate,high,moderate,moderate,moderate,veryHigh,-1
Arcade Game PL Feature Model,high,high,moderate,veryHigh,veryHigh,high,veryHigh,moderate,moderate,veryHigh,moderate,moderate,high,veryHigh,moderate,-1
BankingSoftware,veryHigh,veryHigh,moderate,veryHigh,veryHigh,veryHigh,veryHigh,moderate,high,moderate,moderate,veryHigh,veryHigh,high,veryHigh,-1
bCMS system,veryHigh,veryHigh,moderate,high,high,moderate,high,moderate,moderate,moderate,moderate,moderate,moderate,moderate,high,-1
Billing,veryHigh,moderate,veryHigh,veryHigh,moderate,moderate,veryHigh,high,moderate,veryHigh,moderate,veryHigh,veryHigh,moderate,moderate,-1
ClassicShell,veryHigh,moderate,moderate,veryHigh,moderate,veryHigh,veryHigh,moderate,veryHigh,moderate,high,moderate,high,moderate,veryHigh,-1
Connector PL,moderate,moderate,moderate,moderate,veryHigh,moderate,moderate,low,moderate,moderate,moderate,veryLow,moderate,moderate,high,-1
DATABASE_TOOLS,veryHigh,moderate,veryHigh,veryHigh,moderate,moderate,veryHigh,moderate,high,moderate,veryHigh,veryHigh,veryHigh,high,moderate,-1
Documentation_Generation,moderate,moderate,moderate,moderate,high,high,high,moderate,moderate,veryHigh,moderate,moderate,moderate,high,moderate,-1
E-commerce system,high,veryHigh,moderate,moderate,veryHigh,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,-1
e-foramation,moderate,moderate,moderate,moderate,veryHigh,moderate,moderate,low,moderate,moderate,moderate,low,moderate,moderate,high,-1
E-science application,high,low,moderate,high,veryHigh,veryHigh,high,moderate,moderate,moderate,high,moderate,high,high,veryHigh,-1
E-science application,high,low,moderate,high,veryHigh,veryHigh,high,moderate,moderate,moderate,moderate,moderate,high,high,veryHigh,-1
ebay,moderate,moderate,veryHigh,moderate,moderate,moderate,moderate,low,moderate,moderate,high,moderate,moderate,high,moderate,-1
EC2,moderate,moderate,moderate,moderate,veryHigh,moderate,moderate,low,moderate,moderate,moderate,low,moderate,moderate,veryHigh,-1
Electronic Drum,moderate,moderate,moderate,moderate,moderate,veryHigh,moderate,low,moderate,moderate,moderate,moderate,moderate,moderate,veryHigh,-1
Electronic Shopping,veryHigh,veryHigh,moderate,veryHigh,veryHigh,veryHigh,veryHigh,moderate,moderate,veryHigh,moderate,moderate,veryHigh,veryHigh,moderate,-1
