Simnumero,10,2,2,2,8,0,2,0.7,0,0,0.0,1.0,8.0,0,0,-1
Mobile Games,16,1,6,9,3,1,13,0.625,0,4,15.0,2.0,3645.0,1,0,-1
WebKit overview,19,4,3,13,4,4,23,0.052631578949999994,10,0,1.8333333330000001,2.2,87.0,0,4,-1
EC2,20,3,3,12,7,7,12,0.0,0,0,0.0,1.733333333,32.0,0,7,-1
Connector PL,20,4,2,10,9,7,10,0.05,0,0,0.0,1.529411765,18.0,1,6,-1
Lucas - pnp,25,8,11,19,3,5,25,0.12,4,2,1.0,2.636363636,4032.0,3,2,-1
e-foramation,26,6,3,15,8,8,15,0.03846153846000001,0,0,0.0,1.736842105,1260.0,3,5,-1
Torrent Client,29,2,12,21,3,6,25,0.3793103448,1,3,1.0,2.4285714290000002,147456.0,3,3,-1
Reference Management Softwares Feature Model,31,6,4,23,4,4,34,0.3225806452,1,10,1.0,2.833333333,87480.0,3,1,-1
RaaS,32,2,19,28,3,3,28,0.53125,0,0,0.0,4.8571428569999995,125829120.0,3,0,-1
Experiment environment,35,1,2,29,4,6,57,0.0,9,19,1.35,3.33,2326875.0,5,1,-1
Jogo de Tiros,37,18,12,25,4,6,40,0.08,13,2,36.0,2.33,1296.0,1,5,-1
MLX,37,8,2,26,6,4,32,0.46,1,5,0.4,2.67,142970.0,1,3,-1
Software Stack,37,1,2,25,8,11,37,0.05,9,3,1.333333333,2.04,17073.0,3,8,-1
Meshing Tool Generator,40,6,12,28,3,11,37,0.2,4,5,0.4117647059,2.17,294912.0,5,6,-1
WebCollaborativeApplication,40,8,16,32,4,2,32,0.63,0,0,0.0,4.1,35251200.0,1,1,-1
Mobile Media 2,43,12,15,32,5,7,34,0.23,0,2,0.67,2.72,2128896.0,4,3,-1
Documentation_Generation,44,7,3,32,6,9,43,0.07,1,10,0.75,2.48,55681560.0,5,4,-1
Thread,44,11,1,26,13,7,26,0.34,0,0,0.0,2.0,80658.0,0,7,-1
Webshop,46,10,10,34,3,2,37,0.63,2,1,1.33,3.36,8153726976.0,1,1,-1
NOVASOFT,49,48,3,45,2,0,45,0.0,0,0,0.0,12.0,1.0,0,0,-1
OPEN ERP,49,35,2,46,2,0,46,0.27,0,0,0.0,16.0,8192.0,0,0,-1
Mobile Guide,51,20,12,29,6,0,29,0.59,0,0,1.22,2.27,33838080.0,0,0,-1
E-commerce system,53,44,7,35,8,4,35,0.06,0,0,0.0,2.55,18.0,1,3,-1
SPL SimulES - PnP,53,14,3,35,6,11,35,0.23,0,0,0.0,2.17,97327104.0,3,8,-1
MayaModel,57,31,8,38,5,7,39,0.16,1,0,1.0,2.423076923,206976.0,4,3,-1
SPL SimulES - PnP,59,18,3,38,5,14,38,0.14,0,0,0.0,2.057142857,41140224.0,1,13,-1
E-science application,61,1,3,43,8,16,46,0.11,1,2,1.0,2.235294118,471859220.0,5,11,-1
Arcade Game PL Feature Model,61,18,2,47,8,9,80,0.08,0,33,0.08800000000000001,3.0,3299733576.0,9,0,-1
E-science application,61,1,3,43,8,16,43,0.1147540984,0,0,0.0,2.235294118,754974740.0,5,11,-1
OW2-FraSCAti-1.4,63,18,8,48,5,2,48,0.6190476189999999,0,0,0.36956521740000003,3.764705882,1684077600.0,0,2,-1
USECASE_Test,64,3,7,52,5,11,56,0.0625,3,1,1.0,3.217391304,2795520.0,3,8,-1
ClassicShell,65,3,4,48,4,14,56,0.2461538462,8,0,1.0,2.516129032,359251200.0,0,14,-1
bCMS system,66,33,2,44,6,8,44,0.1818181818,0,0,0.5,2.433333333,552960.0,2,6,-1
DATABASE_TOOLS,70,3,15,60,3,7,66,0.2857142857,5,1,2.5,4.470588235,9.84e+16,6,1,-1
Video Player,71,23,6,53,5,5,53,0.1690140845,0,0,0.0,3.260869565,45006498800640.0,5,0,-1
Reuso - UFRJ - Eclipse1,72,17,7,47,5,7,49,0.5555555556,2,0,1.0,2.4375,22552880544.0,0,7,-1
PhotoSahring,76,14,4,49,8,21,49,0.06578947368,0,0,0.0,2.0,5735478067200.0,16,5,-1
