WebKit overview,19,4,3,13,4,4,23,0.052631578949999994,10,0,1.8333333330000001,2.2,87.0,0,4,1
EC2,20,3,3,12,7,7,12,0.0,0,0,0.0,1.733333333,32.0,0,7,1
Connector PL,20,4,2,10,9,7,10,0.05,0,0,0.0,1.529411765,18.0,1,6,1
VOTE4ME Serveur,23,5,5,15,7,7,15,0.0,0,0,0.0,1.9333333330000002,810.0,4,3,1
Help System,25,6,6,17,5,7,20,0.0,0,3,1.0,2.066666667,1008.0,1,6,1
Lucas - pnp,25,8,11,19,3,5,25,0.12,4,2,1.0,2.636363636,4032.0,3,2,1
Key_Word_In_Context_index_systems,25,8,4,16,4,6,19,0.08,3,0,0.6666666667,2.0,240.0,1,5,1
e-foramation,26,6,3,15,8,8,15,0.03846153846000001,0,0,0.0,1.736842105,1260.0,3,5,1
ScrollingText,27,7,7,19,3,7,30,0.0,4,7,1.0,2.2,1440.0,2,5,1
Sistema de Informes por movil,28,6,8,21,3,6,35,0.07142857142999999,10,4,0.6315789474,2.538461538,534.0,2,4,1
ScrollingText,29,9,7,19,4,7,30,0.0,8,3,0.8333333333,2.058823529,192.0,1,6,1
Premium1Nemocon,32,4,8,21,5,10,21,0.125,0,0,0.0,1.952380952,1128960.0,7,3,1
Physiological computing feature model,33,9,6,22,5,7,22,0.1212121212,0,0,1.0,2.166666667,24180.0,2,5,1
Strategy Mobile Game,33,6,6,22,5,8,30,0.15,6,2,1.5,2.11,9198.0,1,7,1
Experiment environment,35,1,2,29,4,6,57,0.0,9,19,1.35,3.33,2326875.0,5,1,1
Video CMS,36,9,9,28,5,8,28,0.19,0,0,0.0,2.69,378000.0,6,2,1
Tankwar,36,7,7,25,4,8,25,0.19,0,0,0.0,2.26,580608.0,2,6,1
Jogo de Tiros,37,18,12,25,4,6,40,0.08,13,2,36.0,2.33,1296.0,1,5,1
Software Stack,37,1,2,25,8,11,37,0.05,9,3,1.333333333,2.04,17073.0,3,8,1
Meshing Tool Generator,40,6,12,28,3,11,37,0.2,4,5,0.4117647059,2.17,294912.0,5,6,1
Assess4me,40,19,4,24,6,5,24,0.2,0,0,0.0,2.1,6144.0,1,4,1
Database Tool,40,6,10,32,3,7,32,0.18,0,0,0.0,3.07,104119680.0,5,2,1
Tree Stem Deformation Simulator,43,13,9,28,5,10,33,0.05,0,5,0.6,2.08,1202985.0,10,0,1
Mobile Media 2,43,12,15,32,5,7,34,0.23,0,2,0.67,2.72,2128896.0,4,3,1
